"","section","age","d13c","d13o","d18c","temp","d13a","d13a.sd","d13s","d13s.sd","R","R.sd","Sz","Sz.sd","co2","co2.sd"
"81","Fuxian",917.115151515167,-6.98354114074698,-22.772,-11.1821192718054,17.8,-7.5431070707072,0.599722157892025,-16.6620452898597,0.352696753987804,0.419987089532832,0.0779616297336816,502.701825637219,385.922584747464,209.077294235204,170.866783002122
"82","Fuxian",923.103030303044,-6.73778943318121,-23.174,-10.4281715421997,17.8,-7.38255353535273,0.288501877521331,-16.4236252005938,0.355292397675294,0.492414600377359,0.0806880817288311,432.603272064572,312.07832654922,211.106472086397,162.17404642551
"83","Fuxian",923.793939393953,-7.06725071867083,-23.4,-9.54816489115012,17.8,-7.34155959595879,0.288501877521331,-16.7367233099806,0.355231242793216,0.465115119843805,0.0778121329030225,363.354514386734,246.955875634306,167.522881517638,120.905798055052
"84","Fuxian",929.551515151528,-6.61763797479739,-23.974,-8.78707258713905,17.8,-6.99994343434268,0.288501877521331,-16.2988331009911,0.349900979005752,0.579570224001916,0.0807473480331352,308.799543173141,193.65169283649,177.304102532443,117.014620066546
"85","Fuxian",983.454545454647,-5.6484321743286,-23.23,-9.41019242376888,17.8,-6.64272727272956,0.284648906549806,-15.3404586762264,0.349600082901291,0.644830187350198,0.0876416177354912,348.415806363535,230.781300046116,222.681927425011,155.204441221615
"86","Fuxian",986.363636363738,-6.45448203034823,-23.604,-9.60046434872913,17.8,-6.7081818181841,0.284648906549806,-16.1445330005601,0.3487294802032,0.54839349376451,0.0792493966564081,362.875004426902,245.470727972301,198.298115347492,140.000940720256
"87","Fuxian",1040.07317073174,-7.26594936588697,-23.499,-10.1638281120829,17.8,-6.63280081301086,0.462204860785056,-16.9461781975394,0.353621957923336,0.41320416037362,0.0695412819987655,408.182667166566,285.546837912595,166.967276015804,124.312299773976
"88","Fuxian",1043.09756097564,-7.63321002303564,-24.09,-11.170424056465,17.8,-6.88634552845781,0.462204860785056,-17.3061995321402,0.350858500183566,0.431924485117895,0.0691124769484189,502.103744566553,389.884385228148,216.120994958561,176.312131316805
"89","Fuxian",1121.7625,-6.38526256904549,-22.74,-9.90316466950821,17.8,-6.93810625,0.6735478206235,-16.0741400861351,0.351036424045708,0.477334691436737,0.0796119408582964,392.272431157148,265.54704052201,184.884207182687,133.942286031387
"90","Fuxian",1128.85,-6.82765071941992,-23.787,-9.57271904077834,17.8,-7.352725,0.6735478206235,-16.5119027379173,0.351828904140468,0.545754763254162,0.0818646476338123,365.433576150801,250.185297760442,197.568593645131,143.656130631564
"91","Fuxian",1133.9125,-6.4245691432319,-22.956,-9.82056691655293,17.8,-7.22633125,0.234716140618123,-16.1133273582984,0.351885320127341,0.511073081737496,0.0838550920123192,380.144488491847,261.662488758764,192.944874149598,140.99208112354
"92","Fuxian",1203.37209302323,-7.16367567093437,-23.043,-9.597924530559,17.8,-7.13581395348783,0.152397506541282,-16.8413980027178,0.351439443757507,0.404185429495783,0.0727818591777725,363.363214185217,244.987317923349,145.025510287256,106.595383007131
"93","Fuxian",1208.02325581393,-7.01990009143458,-24.397,-8.88653868774565,17.8,-7.23348837209253,0.152397506541282,-16.6994557677268,0.348974007527306,0.572108581614104,0.079813499893436,317.050269907244,204.104494718616,179.214387684752,120.850458625787
"94","Fuxian",1214.99999999997,-6.6543888992154,-22.841,-9.28006910076056,17.8,-7.11250000000098,0.29364093720052,-16.3402893633319,0.353088260455381,0.457153689515662,0.0787260253350386,344.3071430725,229.83926378532,154.452155086613,111.581143425073
"95","Fuxian",1247.20699708454,-5.14515862269741,-23.263,-9.12133451601597,17.8,-7.42663556851193,0.707737003883976,-14.8401113722151,0.352576583695258,0.828444312352907,0.11182990499509,328.465146905281,217.174535479051,270.470575576988,188.11517000421
"96","Fuxian",1250.12244897959,-5.34820634871426,-23.314,-9.0505789622506,17.8,-7.82832653061243,0.543966910758366,-15.0479169643661,0.35534990428411,0.82865904418385,0.115876625913253,329.957487266994,211.922096934341,272.593284861408,183.275644065028
"97","Fuxian",1262.95043731778,-6.5226686556349,-23.175,-9.5889228997835,17.8,-6.72537609329469,0.411693656335225,-16.2043280210746,0.354557884448759,0.492904968470759,0.0775459566166961,361.510603939724,241.905208888991,177.219872944774,124.189086317785
"98","Fuxian",1286.63157894734,-6.10428410998702,-23.164,-9.58276030873105,17.8,-6.7904736842082,0.367820155329567,-15.7873655096042,0.353741837277301,0.564346887195131,0.0831110260514253,362.091298607435,240.616070864492,203.2458663389,141.923558598269
"99","Fuxian",1289.78947368419,-5.82683812327627,-24.366,-8.46901149144992,17.8,-7.04784210526148,0.367820155329567,-15.5178883347021,0.352537485380369,0.774715946487131,0.0962309571958197,293.723168526022,178.565782349262,226.978332894527,142.271901509964
"100","Fuxian",1302.57894736839,-6.74477838517396,-24.79,-10.1491275992634,17.8,-6.42307017543969,0.172312700247738,-16.4205994625987,0.359528529797152,0.609621326962731,0.0772892127276498,406.213892044657,289.323969469701,245.863607681723,181.276113867069
