age,GMST
1.199,-1.60
1.2,-1.84
1.201,-1.78
1.202,-1.77
1.203,-1.84
1.204,-1.79
1.205,-1.74
1.206,-1.71
1.207,-1.52
1.208,-1.37
1.209,-1.17
1.21,-1.23
1.211,-1.09
1.212,-1.03
1.213,-1.24
1.214,-1.23
1.215,-1.53
1.216,-1.73
1.217,-1.86
1.218,-1.71
1.219,-1.74
1.22,-1.84
1.221,-1.76
1.222,-1.54
1.223,-1.34
1.224,-1.17
1.225,-0.96
1.226,-0.69
1.227,-0.45
1.228,-0.40
1.229,-0.16
1.23,0.01
1.231,0.51
1.232,0.69
1.233,0.66
1.234,0.64
1.235,0.63
1.236,0.59
1.237,0.57
1.238,0.38
1.239,0.23
1.24,0.17
1.241,0.01
1.242,-0.35
1.243,-0.78
1.244,-1.13
1.245,-1.62
1.246,-2.19
1.247,-2.42
1.248,-2.68
1.249,-2.79
1.25,-2.87
1.251,-2.62
1.252,-2.51
1.253,-2.87
1.254,-2.99
1.255,-3.16
1.256,-3.21
1.257,-3.23
1.258,-3.09
1.259,-3.10
1.26,-2.87
1.261,-3.11
1.262,-3.04
1.263,-3.04
1.264,-2.79
1.265,-2.40
1.266,-2.16
1.267,-2.04
1.268,-1.95
1.269,-1.96
1.27,-1.72
1.271,-1.57
1.272,-1.31
1.273,-1.21
1.274,-1.04
1.275,-1.01
1.276,-0.86
1.277,-0.85
1.278,-0.65
1.279,-0.75
1.28,-0.50
1.281,-0.66
1.282,-0.95
1.283,-1.00
1.284,-1.18
1.285,-1.22
1.286,-1.25
1.287,-1.02
1.288,-1.08
1.289,-1.22
1.29,-1.38
1.291,-1.11
1.292,-1.09
1.293,-1.30
1.294,-1.50
1.295,-1.57
1.296,-1.53
1.297,-1.49
1.298,-1.65
1.299,-1.55
1.3,-1.45
1.301,-1.38
1.302,-1.26
1.303,-1.16
1.304,-1.05
1.305,-0.93
1.306,-0.71
1.307,-0.59
1.308,-0.45
1.309,-0.27
1.31,-0.10
1.311,-0.08
1.312,0.10
1.313,0.17
1.314,0.41
1.315,0.61
1.316,0.77
1.317,0.79
1.318,0.83
1.319,0.80
1.32,0.59
1.321,0.42
1.322,0.26
1.323,0.10
1.324,-0.02
1.325,-0.07
1.326,-0.17
1.327,-0.06
1.328,-0.12
1.329,-0.25
1.33,-0.33
1.331,-0.36
1.332,-0.43
1.333,-0.67
1.334,-0.98
1.335,-0.85
1.336,-0.63
1.337,-0.93
1.338,-1.05
1.339,-1.09
1.34,-1.08
1.341,-1.01
1.342,-1.03
1.343,-0.90
1.344,-0.71
1.345,-0.21
1.346,-0.07
1.347,0.14
1.348,0.34
1.349,0.54
1.35,0.69
1.351,0.63
1.352,0.90
1.353,1.15
1.354,1.43
1.355,1.69
1.356,1.64
1.357,1.60
